train/global_step,train/loss,train/learning_rate,train/mean_token_accuracy,_timestamp,train/epoch,train/grad_norm,_step,_runtime,train/num_tokens
25,0.9652698040008545,0.0001,0.7645604908466339,1766073268.6295342,0.05359056806002144,0.08012299984693527,24,290.139589629,3855970.0
26,0.9093647003173828,0.0001,0.7780486792325974,1766073280.5064332,0.055734190782422297,0.07773024588823318,25,302.016496211,4018658.0
27,0.9845077395439148,0.0001,0.7608247920870781,1766073292.0085804,0.05787781350482315,0.07688212394714355,26,313.518645495,4171160.0
28,0.8790141344070435,0.0001,0.7838583812117577,1766073301.8192098,0.06002143622722401,0.0706106647849083,27,323.329263856,4314298.0
29,0.9018976092338562,0.0001,0.7780868262052536,1766073313.0337877,0.06216505894962487,0.0686127170920372,28,334.54384768,4468546.0
30,0.9539792537689209,0.0001,0.7674588188529015,1766073326.3675828,0.06430868167202572,0.0618957094848156,29,347.877641446,4635984.0
31,0.8784782886505127,0.0001,0.7839471995830536,1766073336.5342574,0.06645230439442658,0.05440906062722206,30,358.044311008,4790352.0
32,0.9302828907966614,0.0001,0.770961344242096,1766073349.1937754,0.06859592711682744,0.04461272433400154,31,370.703827863,4956096.0
33,0.8651270866394043,0.0001,0.7854529619216919,1766073359.4846287,0.0707395498392283,0.04515672102570534,32,380.994669535,5107640.0
34,0.8730142712593079,0.0001,0.7834810018539429,1766073371.0096085,0.07288317256162916,0.04685273393988609,33,392.519659691,5265237.0
35,0.8609969615936279,0.0001,0.7860652580857277,1766073382.7813072,0.07502679528403002,0.04567018523812294,34,404.291370685,5419378.0
36,0.8743144273757935,0.0001,0.7808766886591911,1766073393.6102164,0.07717041800643087,0.044654279947280884,35,415.12028892,5576075.0
37,0.8701072335243225,0.0001,0.7859828248620033,1766073403.2168307,0.07931404072883172,0.043649714440107346,36,424.726903861,5720029.0
38,0.8858225345611572,0.0001,0.7824199050664902,1766073416.36246,0.08145766345123258,0.03599758446216583,37,437.872529568,5884915.0
39,0.8797721862792969,0.0001,0.782108761370182,1766073427.5183284,0.08360128617363344,0.036032866686582565,38,449.028382288,6032758.0
40,0.8862036466598511,0.0001,0.7805462032556534,1766073437.7778444,0.0857449088960343,0.03197821229696274,39,459.287908458,6187550.0
41,0.8972586989402771,0.0001,0.7745843902230263,1766073451.7058403,0.08788853161843516,0.03444892168045044,40,473.215904941,6355408.0
42,0.8952433466911316,0.0001,0.7767399027943611,1766073464.342844,0.09003215434083602,0.03472115099430084,41,485.852908284,6519771.0
43,0.8593186736106873,0.0001,0.7844266816973686,1766073475.3603537,0.09217577706323687,0.0293225459754467,42,496.870418442,6672296.0
44,0.9160996675491333,0.0001,0.7701677680015564,1766073489.7521622,0.09431939978563773,0.029174592345952988,43,511.262235468,6843136.0
45,0.8975542783737183,0.0001,0.7732819989323616,1766073502.5338159,0.09646302250803858,0.03142963722348213,44,524.043895997,6993296.0
46,0.8521332144737244,0.0001,0.7859044075012207,1766073513.7150857,0.09860664523043944,0.03002062253654003,45,535.225136002,7142356.0
47,0.851980447769165,0.0001,0.7881724908947945,1766073524.07968,0.1007502679528403,0.03179211542010307,46,545.589733581,7294167.0
