_step,train/grad_norm,train/learning_rate,train/loss,train/mean_token_accuracy,_timestamp,train/num_tokens,_runtime,train/epoch,train/global_step
15,0.17131856083869934,0.0001,1.0910024642944336,0.7431540489196777,1766073021.7068496,2441090.0,39.005199948,0.034261241970021415,16
16,0.16381347179412842,0.0001,1.0310955047607422,0.7572572231292725,1766073023.83283,2591858.0,41.131189343,0.03640256959314775,17
17,0.1512182205915451,0.0001,1.0233771800994873,0.754978597164154,1766073026.0214806,2754012.0,43.319821536,0.03854389721627409,18
18,0.16804873943328857,0.0001,1.0045374631881714,0.7601655125617981,1766073028.6135242,2916829.0,45.91187577,0.04068522483940043,19
19,0.15231050550937653,0.0001,1.0194674730300903,0.7556698322296143,1766073031.0398436,3061305.0,48.338218136,0.042826552462526764,20
20,0.13183103501796722,0.0001,0.9675812721252441,0.7656774520874023,1766073033.544328,3219127.0,50.842666734,0.044967880085653104,21
21,0.1108005940914154,0.0001,0.9575397968292236,0.7679646015167236,1766073035.9726057,3380158.0,53.270958125,0.047109207708779445,22
22,0.09687637537717819,0.0001,0.9476970434188843,0.7713936567306519,1766073038.0684307,3539898.0,55.366795121,0.04925053533190578,23
23,0.10924092680215836,0.0001,0.9281724095344543,0.7730945348739624,1766073039.5385177,3689574.0,56.836870318,0.05139186295503212,24
24,0.07975415885448456,0.0001,0.9650513529777527,0.7636160254478455,1766073042.0695434,3855970.0,59.367867719,0.05353319057815846,25
25,0.07547023892402649,0.0001,0.9087788462638855,0.7770353555679321,1766073044.3079295,4018658.0,61.606294839,0.055674518201284794,26
26,0.07436473667621613,0.0001,0.9837502241134644,0.7597264051437378,1766073046.7198443,4171160.0,64.018184958,0.057815845824411134,27
27,0.07368341088294983,0.0001,0.878955602645874,0.7830715179443359,1766073048.218907,4314298.0,65.517251957,0.059957173447537475,28
28,0.06549014151096344,0.0001,0.9013097286224365,0.7769586443901062,1766073050.2117617,4468546.0,67.510102996,0.06209850107066381,29
29,0.06184972822666168,0.0001,0.9542932510375977,0.7661212682723999,1766073052.6847563,4635984.0,69.983107929,0.06423982869379015,30
30,0.05719804763793945,0.0001,0.8780835866928101,0.783746600151062,1766073054.5930867,4790352.0,71.891430949,0.06638115631691649,31
31,0.04430820792913437,0.0001,0.9296454191207886,0.7703582644462585,1766073056.6972826,4956096.0,73.995655305,0.06852248394004283,32
32,0.04418298974633217,0.0001,0.8646355867385864,0.7854529023170471,1766073058.4607527,5107640.0,75.759101784,0.07066381156316917,33
33,0.04385954514145851,0.0001,0.8723130226135254,0.783037006855011,1766073060.6004891,5265237.0,77.898833714,0.0728051391862955,34
34,0.04390713572502136,0.0001,0.8606593608856201,0.7855268716812134,1766073063.060452,5419378.0,80.35878557,0.07494646680942184,35
35,0.04281160607933998,0.0001,0.8737446665763855,0.780269205570221,1766073064.8079283,5576075.0,82.106278523,0.07708779443254818,36
36,0.04170269891619682,0.0001,0.8692781925201416,0.7845668196678162,1766073066.3978229,5720029.0,83.69616623,0.07922912205567452,37
37,0.03612551465630531,0.0001,0.8851640820503235,0.7802228927612305,1766073068.5588849,5884915.0,85.857228856,0.08137044967880086,38
38,0.035221122205257416,0.0001,0.8792659044265747,0.7799949645996094,1766073070.7416477,6032758.0,88.039998514,0.0835117773019272,39
39,0.031143033877015114,0.0001,0.8861400485038757,0.7789396643638611,1766073072.8756886,6187550.0,90.174026376,0.08565310492505353,40
40,0.03051057830452919,0.0001,0.8970163464546204,0.7738401889801025,1766073075.386858,6355408.0,92.685206829,0.08779443254817987,41
41,0.03243338689208031,0.0001,0.894620418548584,0.7753039002418518,1766073077.8925123,6519771.0,95.190871973,0.08993576017130621,42
42,0.030076496303081512,0.0001,0.8588373064994812,0.784313976764679,1766073079.7741404,6672296.0,97.072483963,0.09207708779443255,43
43,0.027311334386467934,0.0001,0.9156782627105713,0.769514262676239,1766073082.2871578,6843136.0,99.585487812,0.09421841541755889,44
44,0.029550855979323387,0.0001,0.8972461223602295,0.7719363570213318,1766073084.7195513,6993296.0,102.017886298,0.09635974304068523,45
45,0.028305262327194214,0.0001,0.8515899777412415,0.7856830954551697,1766073087.2343974,7142356.0,104.533037436,0.09850107066381156,46
46,0.02793874219059944,0.0001,0.851736307144165,0.7852107882499695,1766073089.0864885,7294167.0,106.38484464,0.1006423982869379,47
