train/mean_token_accuracy,_timestamp,train/global_step,_step,_runtime,train/epoch,train/learning_rate,train/loss,train/num_tokens,train/grad_norm
0.7912696599960327,1766073652.3929527,222,221,871.117673335,0.4758842443729904,0.0001,0.8130077719688416,34608650.0,0.03327508270740509
0.7945955097675323,1766073656.3210785,223,222,875.045798928,0.4780278670953912,0.0001,0.8049802780151367,34765848.0,0.02940010465681553
0.797910213470459,1766073660.2486296,224,223,878.973362999,0.48017148981779206,0.0001,0.7997685670852661,34923587.0,0.031091293320059776
0.801878809928894,1766073662.8175545,225,224,881.542279838,0.48231511254019294,0.0001,0.7787686586380005,35061736.0,0.03659190237522125
0.7840941846370697,1766073666.0904715,226,225,884.815180097,0.4844587352625938,0.0001,0.8373137712478638,35224947.0,0.03586152568459511
0.7757894992828369,1766073670.2242935,227,226,888.949028786,0.4866023579849946,0.0001,0.8836780190467834,35383552.0,0.03304887190461159
0.7908793687820435,1766073674.6833742,228,227,893.408073776,0.4887459807073955,0.0001,0.8270192742347717,35537848.0,0.032921601086854935
0.7907325625419617,1766073677.9574754,229,228,896.682218322,0.4908896034297964,0.0001,0.8184800148010254,35694801.0,0.031251609325408936
0.791486918926239,1766073681.8061454,230,229,900.53088094,0.4930332261521972,0.0001,0.8190726637840271,35847389.0,0.041462820023298264
0.7887914180755615,1766073685.759093,231,230,904.483814973,0.49517684887459806,0.0001,0.8300855159759521,36001061.0,0.04423492029309273
0.7902370393276215,1766073689.7512193,232,231,908.475957655,0.49732047159699894,0.0001,0.8305280804634094,36153435.0,0.0335017666220665
0.7929999828338623,1766073693.100748,233,232,911.825455966,0.4994640943193998,0.0001,0.8167309761047363,36308551.0,0.037018291652202606
0.7923941314220428,1766073696.5714629,234,233,915.296195588,0.5016077170418006,0.0001,0.8175598382949829,36451452.0,0.03909166529774666
0.7989957332611084,1766073699.4700923,235,234,918.194840289,0.5037513397642015,0.0001,0.7870896458625793,36596648.0,0.03512844815850258
0.7877585887908936,1766073703.6599426,236,235,922.384674255,0.5058949624866024,0.0001,0.822824239730835,36751665.0,0.03110378049314022
0.790977269411087,1766073708.1259937,237,236,926.850747072,0.5080385852090032,0.0001,0.8269850015640259,36908485.0,0.06243137642741203
0.8035968542098999,1766073711.5710173,238,237,930.295756297,0.5101822079314041,0.0001,0.7806347608566284,37064151.0,0.044684894382953644
0.7896030247211456,1766073715.0628328,239,238,933.787569838,0.5123258306538049,0.0001,0.827100396156311,37217517.0,0.06457369029521942
0.8022520244121552,1766073717.9658754,240,239,936.690610577,0.5144694533762058,0.0001,0.7744168639183044,37367961.0,0.03174477815628052
0.7917107343673706,1766073722.1507206,241,240,940.875429513,0.5166130760986066,0.0001,0.8147954940795898,37526897.0,0.05219099670648575
0.7780744433403015,1766073725.4122748,242,241,944.137001277,0.5187566988210075,0.0001,0.8708757758140564,37685668.0,0.06494308263063431
0.7901970744132996,1766073729.3757226,243,242,948.100463536,0.5209003215434084,0.0001,0.8206100463867188,37839489.0,0.03264676779508591
0.7841805219650269,1766073732.90191,244,243,951.626623206,0.5230439442658092,0.0001,0.8464670777320862,37997238.0,0.09126068651676178
0.7739423513412476,1766073737.439908,245,244,956.164632768,0.5251875669882101,0.0001,0.8855056762695312,38168011.0,0.04084349423646927
0.7880341112613678,1766073740.8444517,246,245,959.569178976,0.5273311897106109,0.0001,0.8356819152832031,38326230.0,0.0688595250248909
0.8017726540565491,1766073744.5999758,247,246,963.324720638,0.5294748124330118,0.0001,0.7821265459060669,38478252.0,0.059302859008312225
0.7946955859661102,1766073747.4720988,248,247,966.196816563,0.5316184351554126,0.0001,0.805210292339325,38625546.0,0.032644759863615036
0.7886314392089844,1766073751.5907304,249,248,970.315454468,0.5337620578778135,0.0001,0.8250487446784973,38771391.0,0.051719412207603455
0.787283718585968,1766073755.7327693,250,249,974.457493458,0.5359056806002144,0.0001,0.8314276933670044,38929652.0,0.046384911984205246
0.784602701663971,1766073759.1873674,251,250,977.91209716,0.5380493033226152,0.0001,0.8357880711555481,39078825.0,0.04576525464653969
0.7819114327430725,1766073763.0666215,252,251,981.791357609,0.5401929260450161,0.0001,0.8488253951072693,39250764.0,0.04174503684043884
0.794467568397522,1766073766.8760817,253,252,985.600808221,0.5423365487674169,0.0001,0.8078622221946716,39401652.0,0.03428458794951439
