train/num_tokens,train/learning_rate,_step,_runtime,_timestamp,train/loss,train/mean_token_accuracy,train/global_step,train/epoch,train/grad_norm,eval/accuracy
3061305.0,0.0001,19,643.282211219,1765917179.9603224,0.7990310788154602,0.7929699122905731,20.0,0.04287245444801715,0.5743233561515808,
3219127.0,0.0001,20,672.028613057,1765917208.7066426,0.7712799310684204,0.8006086647510529,21.0,0.04501607717041801,0.47562167048454285,
3380158.0,0.0001,21,706.409808153,1765917243.087886,0.7685232162475586,0.7978001236915588,22.0,0.04715969989281887,0.3849343955516815,
3539898.0,0.0001,22,735.489802853,1765917272.167883,0.7657644152641296,0.7999244332313538,23.0,0.04930332261521972,0.3724555969238281,
3689574.0,0.0001,23,756.980958318,1765917293.659011,0.746231198310852,0.8023890852928162,24.0,0.05144694533762058,0.35230401158332825,
3855970.0,0.0001,24,794.155776127,1765917330.8338354,0.791557788848877,0.7910099625587463,25.0,0.05359056806002144,0.29475653171539307,
4018658.0,0.0001,25,823.980616809,1765917360.6586597,0.7431104183197021,0.8042000234127045,26.0,0.055734190782422297,0.3187962770462036,
4171160.0,0.0001,26,857.808599473,1765917394.4866345,0.8077360987663269,0.7875357270240784,27.0,0.05787781350482315,0.3181834816932678,
4314298.0,0.0001,27,881.161855716,1765917417.8399026,0.7070298194885254,0.8114993572235107,28.0,0.06002143622722401,0.3092290163040161,
4468546.0,0.0001,28,909.11038672,1765917445.7884367,0.7359451055526733,0.8046485185623169,29.0,0.06216505894962487,0.3978118896484375,
4635984.0,0.0001,29,943.519530665,1765917480.197644,0.7914248108863831,0.7930111289024353,30.0,0.06430868167202572,0.35298165678977966,
4790352.0,0.0001,30,968.52378249,1765917505.2018437,0.7210885286331177,0.8089538812637329,31.0,0.06645230439442658,0.23926861584186554,
4956096.0,0.0001,31,999.750150624,1765917536.4282043,0.7742801904678345,0.7964892089366913,32.0,0.06859592711682744,0.24606147408485413,
5107640.0,0.0001,32,1023.961082468,1765917560.6391644,0.7124320268630981,0.8098686933517456,33.0,0.0707395498392283,0.33940061926841736,
5265237.0,0.0001,33,1055.237983125,1765917591.91604,0.7204411029815674,0.807710736989975,34.0,0.07288317256162916,0.36017894744873047,
5419378.0,0.0001,34,1085.454333347,1765917622.1323977,0.7079037427902222,0.8118486702442169,35.0,0.07502679528403002,0.3500015139579773,
5576075.0,0.0001,35,1112.625773399,1765917649.3038251,0.725370466709137,0.8060380518436432,36.0,0.07717041800643087,0.5004029870033264,
5720029.0,0.0001,36,1136.548040453,1765917673.2260725,0.7178162336349487,0.8091725707054138,37.0,0.07931404072883172,0.2576858103275299,
5884915.0,0.0001,37,1170.237363079,1765917706.915428,0.739504873752594,0.8042322099208832,38.0,0.08145766345123258,0.5616149306297302,
6032758.0,0.0001,38,1201.690205318,1765917738.3682573,0.7281361818313599,0.8061859905719757,39.0,0.08360128617363344,0.47620925307273865,
6187550.0,0.0001,39,1230.445007749,1765917767.123065,0.7383419275283813,0.8043065667152405,40.0,0.0857449088960343,0.24801546335220337,
6355408.0,0.0001,40,1265.064416408,1765917801.7424982,0.7564393877983093,0.7974155247211456,41.0,0.08788853161843516,0.5235496759414673,
6519771.0,0.0001,41,1296.299304985,1765917832.9773617,0.7522097826004028,0.7991369366645813,42.0,0.09003215434083602,0.6663420796394348,
6672296.0,0.0001,42,1323.673807746,1765917860.3518848,0.7148801684379578,0.8079469203948975,43.0,0.09217577706323687,0.7319772243499756,
6843136.0,0.0001,43,1361.58846507,1765917898.2664998,0.7718644142150879,0.794214516878128,44.0,0.09431939978563773,0.5891639590263367,
6993296.0,0.0001,44,1398.529532693,1765917935.207604,0.7449920177459717,0.7985289096832275,45.0,0.09646302250803858,0.5085188746452332,
