train/learning_rate,_timestamp,train/num_tokens,train/global_step,_step,train/loss,train/grad_norm,train/mean_token_accuracy,_runtime,train/epoch,eval/accuracy
0.0001,1765917282.567415,24500736.0,157.0,156,0.8700474500656128,0.021302102133631706,0.7813204675912857,1161.333900229,0.3365487674169346,
0.0001,1765917290.9305692,24652820.0,158.0,157,0.8251199722290039,0.010151505470275879,0.7909259498119354,1169.697044926,0.3386923901393355,
0.0001,1765917298.0276031,24810632.0,159.0,158,0.8378307819366455,0.01032932661473751,0.7849199920892715,1176.79406494,0.3408360128617363,
0.0001,1765917306.1558952,24968589.0,160.0,159,0.826565146446228,0.009176074527204037,0.7883836328983307,1184.922345676,0.3429796355841372,
0.0001,1765917313.6705027,25125017.0,161.0,160,0.864608108997345,0.011311464011669159,0.7806480228900909,1192.43698769,0.34512325830653806,
0.0001,1765917320.80574,25277188.0,162.0,161,0.8021634221076965,0.01417927909642458,0.7949265688657761,1199.572223548,0.34726688102893893,
0.0001,1765917327.5001812,25430057.0,163.0,162,0.7896736264228821,0.024203645065426826,0.7994276285171509,1206.266664313,0.34941050375133975,
0.0001,1765917335.9144347,25583830.0,164.0,163,0.7989752888679504,0.01177419163286686,0.7981581091880798,1214.680912627,0.3515541264737406,
0.0001,1765917343.26791,25742285.0,165.0,164,0.8516331911087036,0.024045608937740326,0.7842758893966675,1222.034364563,0.3536977491961415,
0.0001,1765917351.509496,25907065.0,166.0,165,0.8300864696502686,0.011332713067531586,0.7882012724876404,1230.275960113,0.3558413719185423,
0.0001,1765917357.5607672,26051750.0,167.0,166,0.8153655529022217,0.013991630636155605,0.7916073352098465,1236.327249407,0.3579849946409432,
0.0001,1765917364.6783931,26204362.0,168.0,167,0.8451573848724365,0.013352624140679836,0.7872684746980667,1243.444886886,0.36012861736334406,
0.0001,1765917372.7763226,26364857.0,169.0,168,0.8647881746292114,0.009556061588227749,0.7805972695350647,1251.542821442,0.36227224008574493,
