_step,_runtime,_timestamp,train/loss,train/learning_rate,train/grad_norm,train/mean_token_accuracy,train/epoch,train/num_tokens,train/global_step,eval/accuracy
20,656.233207806,1765917189.7663178,0.7984166145324707,0.0001,0.1377594769001007,0.7948163747787476,0.04501607717041801,3219127.0,21.0,
21,690.541068313,1765917224.0744042,0.7954782843589783,0.0001,0.137203648686409,0.793254554271698,0.04715969989281887,3380158.0,22.0,
22,718.856201007,1765917252.3894444,0.7914575338363647,0.0001,0.13144464790821075,0.7947764992713928,0.04930332261521972,3539898.0,23.0,
23,740.026862748,1765917273.560127,0.7710584998130798,0.0001,0.15129345655441284,0.7982703149318695,0.05144694533762058,3689574.0,24.0,
24,776.584991507,1765917310.1182373,0.8121975064277649,0.0001,0.14167267084121704,0.7884110510349274,0.05359056806002144,3855970.0,25.0,
25,805.630224011,1765917339.1633532,0.7617438435554504,0.0001,0.1154247298836708,0.8018469512462616,0.055734190782422297,4018658.0,26.0,
26,839.249650705,1765917372.7827442,0.8241182565689087,0.0001,0.11486552655696869,0.785397469997406,0.05787781350482315,4171160.0,27.0,
27,861.923333196,1765917395.4565969,0.7229918241500854,0.0001,0.12003448605537415,0.8091492354869843,0.06002143622722401,4314298.0,28.0,
28,888.821516909,1765917422.3547947,0.7495824098587036,0.0001,0.10401779413223267,0.8028668463230133,0.06216505894962487,4468546.0,29.0,
29,923.6100816,1765917457.143382,0.8030683398246765,0.0001,0.08177432417869568,0.7906511127948761,0.06430868167202572,4635984.0,30.0,
30,948.264710701,1765917481.7979968,0.7332807779312134,0.0001,0.0872233510017395,0.8068637251853943,0.06645230439442658,4790352.0,31.0,
31,978.873714068,1765917512.4069645,0.7856827974319458,0.0001,0.08984004706144333,0.794558972120285,0.06859592711682744,4956096.0,32.0,
32,1003.191988886,1765917536.7253015,0.724126398563385,0.0001,0.08920681476593018,0.8074130415916443,0.0707395498392283,5107640.0,33.0,
33,1033.660864899,1765917567.194167,0.7310786843299866,0.0001,0.071025550365448,0.8060560822486877,0.07288317256162916,5265237.0,34.0,
34,1062.957588128,1765917596.4908674,0.718248724937439,0.0001,0.06347130239009857,0.8102323710918427,0.07502679528403002,5419378.0,35.0,
35,1089.867072835,1765917623.4003477,0.7351295351982117,0.0001,0.0842515155673027,0.8050595819950104,0.07717041800643087,5576075.0,36.0,
36,1113.743392852,1765917647.2765806,0.7283071875572205,0.0001,0.09838799387216568,0.8084965646266937,0.07931404072883172,5720029.0,37.0,
37,1146.322893428,1765917679.8560603,0.7475998401641846,0.0001,0.0717923566699028,0.8031359612941742,0.08145766345123258,5884915.0,38.0,
38,1176.917386041,1765917710.4506438,0.7375009655952454,0.0001,0.059597037732601166,0.8050124943256378,0.08360128617363344,6032758.0,39.0,
39,1204.995065587,1765917738.528231,0.7480421662330627,0.0001,0.0781511515378952,0.8028175532817841,0.0857449088960343,6187550.0,40.0,
40,1239.381806367,1765917772.9150772,0.7651187777519226,0.0001,0.0764693096280098,0.7964971363544464,0.08788853161843516,6355408.0,41.0,
41,1270.446051467,1765917803.9793997,0.7608935832977295,0.0001,0.05953853204846382,0.7980691194534302,0.09003215434083602,6519771.0,42.0,
42,1297.397571939,1765917830.9307241,0.7243937253952026,0.0001,0.06223990395665169,0.8064730167388916,0.09217577706323687,6672296.0,43.0,
43,1334.100993217,1765917867.634257,0.7808293104171753,0.0001,0.08056235313415527,0.7930614948272705,0.09431939978563773,6843136.0,44.0,
44,1370.057076138,1765917903.590359,0.7551294565200806,0.0001,0.08262407779693604,0.7972348034381866,0.09646302250803858,6993296.0,45.0,
