_timestamp,train/global_step,_step,train/loss,train/epoch,train/grad_norm,train/num_tokens,train/learning_rate,train/mean_token_accuracy,_runtime,eval/accuracy
1765916465.2854693,47.0,46,1.4510376453399658,0.1007502679528403,0.08636894077062607,7294167.0,1e-05,0.6766088008880615,342.228695595,
1765916474.215643,48.0,47,1.456174612045288,0.10289389067524116,0.07610917091369629,7470762.0,1e-05,0.6709113717079163,351.158863767,
1765916482.6352556,49.0,48,1.4266608953475952,0.10503751339764202,0.08457823097705841,7629052.0,1e-05,0.6811909377574921,359.578510328,
1765916488.5829682,50.0,49,1.4248409271240234,0.10718113612004287,0.08881872892379761,7779609.0,1e-05,0.6799730509519577,365.526234727,
1765916495.7501113,51.0,50,1.4554104804992676,0.10932475884244373,0.0898393839597702,7927458.0,1e-05,0.6734706312417984,372.693349022,
1765916501.883876,52.0,51,1.4212149381637573,0.11146838156484459,0.08931344002485275,8078023.0,1e-05,0.6807733476161957,378.827114886,
1765916508.4677289,53.0,52,1.4188008308410645,0.11361200428724544,0.08950034528970718,8230483.0,1e-05,0.6810590922832489,385.410942232,
1765916515.3433974,54.0,53,1.406294584274292,0.1157556270096463,0.09473051130771637,8375984.0,1e-05,0.6852266788482666,392.286637101,
1765916522.9408906,55.0,54,1.412619709968567,0.11789924973204716,0.08167389035224915,8547262.0,1e-05,0.679215207695961,399.884115971,
1765916530.5341234,56.0,55,1.4179590940475464,0.12004287245444802,0.08623609691858292,8704936.0,1e-05,0.6798208653926849,407.477369116,
1765916538.172932,57.0,56,1.358549952507019,0.12218649517684887,0.07083665579557419,8867795.0,1e-05,0.6916330307722092,415.116172747,
1765916544.730504,58.0,57,1.3914594650268555,0.12433011789924973,0.06669902056455612,9019339.0,1e-05,0.6862328052520752,421.673744046,
1765916551.8006673,59.0,58,1.3430671691894531,0.1264737406216506,0.054991714656353,9189045.0,1e-05,0.6944047659635544,428.743906015,
1765916558.6146767,60.0,59,1.3345715999603271,0.12861736334405144,0.05570061132311821,9353955.0,1e-05,0.6945980489253998,435.557911943,
1765916566.2739537,61.0,60,1.3299932479858398,0.1307609860664523,0.059291183948516846,9504744.0,1e-05,0.7025163620710373,443.217171832,
1765916574.0413015,62.0,61,1.3880791664123535,0.13290460878885316,0.05706009641289711,9662901.0,1e-05,0.6816390454769135,450.98452769,
1765916580.2212503,63.0,62,1.3130552768707275,0.13504823151125403,0.06090649217367172,9809122.0,1e-05,0.7022449672222137,457.16447991,
1765916587.8017519,64.0,63,1.3161375522613525,0.13719185423365488,0.05629381537437439,9968473.0,1e-05,0.6999823600053787,464.744978672,
1765916595.6937425,65.0,64,1.3614954948425293,0.13933547695605572,0.06106794998049736,10119334.0,1e-05,0.6893530339002609,472.6369551,
1765916601.3108182,66.0,65,1.3476839065551758,0.1414790996784566,0.06731649488210678,10259437.0,1e-05,0.6947531253099442,478.254047821,
1765916609.8148856,67.0,66,1.3390204906463623,0.14362272240085744,0.05783341825008392,10416011.0,1e-05,0.6941549330949783,486.75813042,
1765916615.6457734,68.0,67,1.3369414806365967,0.1457663451232583,0.05788866803050041,10566185.0,1e-05,0.6963399350643158,492.588989304,
1765916621.7296605,69.0,68,1.304868459701538,0.14790996784565916,0.05909755825996399,10715715.0,1e-05,0.7035981714725494,498.672900682,
1765916630.54682,70.0,69,1.2759783267974854,0.15005359056806003,0.05350549891591072,10880059.0,1e-05,0.70657779276371,507.490041764,
1765916636.400479,71.0,70,1.270644187927246,0.15219721329046088,0.05545416846871376,11036249.0,1e-05,0.7078415006399155,513.343709399,
1765916643.1417265,72.0,71,1.2938501834869385,0.15434083601286175,0.0557858869433403,11186751.0,1e-05,0.7024603933095932,520.084969887,
1765916650.5138366,73.0,72,1.2645297050476074,0.1564844587352626,0.05352407693862915,11356082.0,1e-05,0.7068481892347336,527.457060802,
1765916657.9770246,74.0,73,1.2690585851669312,0.15862808145766344,0.054335061460733414,11514483.0,1e-05,0.7074072808027267,534.920250519,
1765916664.530924,75.0,74,1.2701538801193237,0.1607717041800643,0.056401994079351425,11663606.0,1e-05,0.7076120972633362,541.474164472,
1765916671.1001687,76.0,75,1.251556158065796,0.16291532690246516,0.054877616465091705,11816781.0,1e-05,0.7133955806493759,548.043385896,
1765916677.6662633,77.0,76,1.241523027420044,0.16505894962486603,0.05295376107096672,11978438.0,1e-05,0.7150780409574509,554.609515453,
