train/loss,train/epoch,_step,_timestamp,train/num_tokens,train/learning_rate,train/global_step,train/mean_token_accuracy,_runtime,train/grad_norm
0.7801,0.12734082397003746,33,1763912442.1358013,10517531.0,0.00019618405399175653,34,0.7922660708427429,658.44543856,0.05177049711346626
0.7307,0.13108614232209737,34,1763912461.5856922,10819542.0,0.00019586194343978607,35,0.8065245151519775,677.895430026,0.04938628897070885
0.7676,0.1348314606741573,35,1763912481.2990289,11120937.0,0.00019552710208822245,36,0.7967821955680847,697.608703646,0.04994343966245651
0.7634,0.13857677902621723,36,1763912500.7825675,11441230.0,0.00019517957958418484,37,0.7975116968154907,717.092223873,0.04686158522963524
0.7931,0.14232209737827714,37,1763912520.317437,11761234.0,0.0001948194274550343,38,0.7892907857894897,736.627186478,0.04750509932637215
0.7658,0.14606741573033707,38,1763912540.5104918,12062875.0,0.00019444669910073352,39,0.7961755394935608,756.820193864,0.04297911375761032
0.7649,0.149812734082397,39,1763912559.379667,12382707.0,0.00019406144978592932,40,0.7958674430847168,775.689277698,0.041488174349069595
0.8025,0.15355805243445692,40,1763912578.9413605,12714548.0,0.00019366373663175855,41,0.7881433367729187,795.251236687,0.0401613712310791
0.7623,0.15730337078651685,41,1763912598.4404397,13015263.0,0.0001932536186073787,42,0.797005295753479,814.750152096,0.041437529027462006
0.7384,0.16104868913857678,42,1763912614.9922795,13312145.0,0.00019283115652122434,43,0.8019537329673767,831.301940159,0.04999040067195892
0.7598,0.1647940074906367,43,1763912634.8371956,13620098.0,0.00019239641301199137,44,0.7967429161071777,851.14686437,0.04130242019891739
0.7647,0.16853932584269662,44,1763912654.6730998,13928150.0,0.0001919494525393491,45,0.7955760359764099,870.982729447,0.04440474510192871
0.8034,0.17228464419475656,45,1763912674.5966663,14240357.0,0.00019149034137438321,46,0.7853588461875916,890.906279076,0.0410657562315464
0.7464,0.1760299625468165,46,1763912693.912455,14542488.0,0.00019101914758976938,47,0.8010032773017883,910.222219894,0.053422871977090836
