train/learning_rate,_step,_timestamp,train/global_step,train/mean_token_accuracy,train/loss,train/epoch,train/grad_norm,_runtime,train/num_tokens,eval/accuracy
0.001,35,1765917641.406141,36.0,0.7986643016338348,0.7678166627883911,0.07717041800643087,1.9872827529907227,1106.955936818,5576075.0,
0.001,36,1765917665.476069,37.0,0.8042804300785065,0.7499107122421265,0.07931404072883172,0.8972107172012329,1131.02585266,5720029.0,
0.001,37,1765917698.5739472,38.0,0.7924804985523224,0.7866806983947754,0.08145766345123258,2.0496511459350586,1164.123763886,5884915.0,
0.001,38,1765917730.318581,39.0,0.8003826141357422,0.7597874402999878,0.08360128617363344,0.9513590931892395,1195.868418957,6032758.0,
0.001,39,1765917759.1755843,40.0,0.7969062924385071,0.7832126617431641,0.0857449088960343,2.0603888034820557,1224.725394816,6187550.0,
0.001,40,1765917793.886864,41.0,0.7898230850696564,0.8098864555358887,0.08788853161843516,6.123482704162598,1259.436673667,6355408.0,
0.001,41,1765917824.5899873,42.0,0.7920072674751282,0.7962355017662048,0.09003215434083602,6.2544965744018555,1290.139808394,6519771.0,
0.001,42,1765917851.8477845,43.0,0.8003133833408356,0.7608211040496826,0.09217577706323687,3.176542043685913,1317.39758514,6672296.0,
0.001,43,1765917888.9982493,44.0,0.7870403528213501,0.8215468525886536,0.09431939978563773,5.199793815612793,1354.54806907,6843136.0,
0.001,44,1765917925.6713002,45.0,0.7898402214050293,0.7886209487915039,0.09646302250803858,1.011633038520813,1391.221065592,6993296.0,
0.001,45,1765917958.6623554,46.0,0.8024001717567444,0.7705854773521423,0.09860664523043944,3.823338508605957,1424.212184502,7142356.0,
