_timestamp,train/global_step,train/learning_rate,train/loss,train/epoch,train/num_tokens,train/mean_token_accuracy,_runtime,train/grad_norm,_step
1765917824.8345964,250,0.001,0.8442657589912415,0.5359056806002144,38929652.0,0.7847494781017303,1698.25462938,0.44041433930397034,249
1765917830.8602448,251,0.001,0.84148108959198,0.5380493033226152,39078825.0,0.7833324670791626,1704.280285354,0.2646629512310028,250
1765917838.081759,252,0.001,0.852329432964325,0.5401929260450161,39250764.0,0.7822498828172684,1711.501778572,0.3170284926891327,251
1765917844.4628298,253,0.001,0.8107900619506836,0.5423365487674169,39401652.0,0.7941520363092422,1717.882866072,0.4100361168384552,252
1765917851.3741574,254,0.001,0.8215142488479614,0.5444801714898178,39556368.0,0.792645201086998,1724.794194219,0.5210627913475037,253
1765917857.6482937,255,0.001,0.801584005355835,0.5466237942122186,39716091.0,0.7953331917524338,1731.068352595,0.5082088112831116,254
1765917863.4203122,256,0.001,0.8291772603988647,0.5487674169346195,39864668.0,0.7905978113412857,1736.84035127,0.3548029363155365,255
1765917870.338853,257,0.001,0.8577457070350647,0.5509110396570204,40026842.0,0.779524564743042,1743.758894161,0.19052377343177795,256
1765917877.102682,258,0.001,0.8214389085769653,0.5530546623794212,40185219.0,0.791572704911232,1750.522689852,0.29822295904159546,257
1765917883.3360326,259,0.001,0.8406978845596313,0.5551982851018221,40338073.0,0.784743458032608,1756.756055639,0.26829424500465393,258
1765917890.2842567,260,0.001,0.8519642353057861,0.5573419078242229,40501465.0,0.7823998481035233,1763.704291466,0.24087893962860107,259
1765917897.124821,261,0.001,0.8320031762123108,0.5594855305466238,40657227.0,0.7883180677890778,1770.544819036,0.2860923111438751,260
1765917903.7974036,262,0.001,0.8007965683937073,0.5616291532690246,40807442.0,0.7967832833528519,1777.217437615,0.18029046058654785,261
1765917910.62869,263,0.001,0.8377255797386169,0.5637727759914255,40956359.0,0.7862325608730316,1784.048720192,0.253179669380188,262
1765917918.0166085,264,0.001,0.8265159130096436,0.5659163987138264,41113297.0,0.788072943687439,1791.436632383,0.19395580887794495,263
1765917924.851428,265,0.001,0.8286738395690918,0.5680600214362272,41267327.0,0.7878838777542114,1798.271448335,0.21961353719234467,264
1765917930.0763218,266,0.001,0.7896358370780945,0.5702036441586281,41416137.0,0.7996083498001099,1803.496355234,0.19778519868850708,265
1765917936.783489,267,0.001,0.8127678632736206,0.572347266881029,41572626.0,0.7932357788085938,1810.203541176,0.17773573100566864,266
1765917943.2189686,268,0.001,0.798041820526123,0.5744908896034298,41724870.0,0.7983192205429077,1816.638995805,0.21493086218833923,267
1765917950.2164497,269,0.001,0.7866096496582031,0.5766345123258306,41882397.0,0.8001303672790527,1823.636484302,0.16806355118751526,268
1765917956.8313289,270,0.001,0.8354871273040771,0.5787781350482315,42044695.0,0.783086746931076,1830.25135067,0.21075253188610077,269
