_step,train/grad_norm,train/global_step,train/mean_token_accuracy,_timestamp,train/loss,train/epoch,train/num_tokens,_runtime,train/learning_rate
18,0.05182083696126938,19,0.7823768556118011,1765916262.236166,0.8652271032333374,0.04072883172561629,2916829.0,131.543840109,0.001
19,0.05113448575139046,20,0.77800652384758,1765916268.4723468,0.884639322757721,0.04287245444801715,3061305.0,137.780046339,0.001
20,0.09146727621555328,21,0.7850026190280914,1765916274.7751465,0.8561533689498901,0.04501607717041801,3219127.0,144.082820359,0.001
21,0.05621292442083359,22,0.783014640212059,1765916281.6776412,0.8583365678787231,0.04715969989281887,3380158.0,150.985322499,0.001
22,0.07274311780929565,23,0.7856360226869583,1765916288.0270827,0.8601901531219482,0.04930332261521972,3539898.0,157.334787285,0.001
23,0.06936827301979065,24,0.786661759018898,1765916292.9244337,0.842534065246582,0.05144694533762058,3689574.0,162.23211349,0.001
24,0.044044312089681625,25,0.776232898235321,1765916300.5648499,0.8886377215385437,0.05359056806002144,3855970.0,169.87255114,0.001
25,0.08325903117656708,26,0.7889815270900726,1765916307.1713936,0.8371372818946838,0.055734190782422297,4018658.0,176.479092826,0.001
26,0.031241849064826965,27,0.7704187333583832,1765916313.8612263,0.9128724336624146,0.05787781350482315,4171160.0,183.168927248,0.001
27,0.04268678277730942,28,0.7951606959104538,1765916319.1047068,0.8088599443435669,0.06002143622722401,4314298.0,188.412407001,0.001
28,0.05019224435091019,29,0.7879841923713684,1765916325.2824361,0.837049126625061,0.06216505894962487,4468546.0,194.590128019,0.001
29,0.030927671119570732,30,0.7761341333389282,1765916332.4310532,0.8966401815414429,0.06430868167202572,4635984.0,201.738740639,0.001
30,0.061525240540504456,31,0.7929699420928955,1765916338.344181,0.8227105140686035,0.06645230439442658,4790352.0,207.651867733,0.001
31,0.047066546976566315,32,0.7795685529708862,1765916345.4261525,0.8776215314865112,0.06859592711682744,4956096.0,214.733867714,0.001
32,0.02532556839287281,33,0.7937645018100739,1765916351.1260014,0.8140038251876831,0.0707395498392283,5107640.0,220.433657188,0.001
33,0.0339641235768795,34,0.7915826737880707,1765916357.6127162,0.8233025074005127,0.07288317256162916,5265237.0,226.92041922,0.001
34,0.037902966141700745,35,0.7945026457309723,1765916363.857441,0.8097620010375977,0.07502679528403002,5419378.0,233.165117211,0.001
35,0.038310084491968155,36,0.7887265831232071,1765916369.6761484,0.8260470628738403,0.07717041800643087,5576075.0,238.983823515,0.001
36,0.1156020313501358,37,0.7935113906860352,1765916374.8933432,0.8196446299552917,0.07931404072883172,5720029.0,244.201046249,0.001
37,0.11022818833589554,38,0.7879629135131836,1765916381.9769244,0.8419241905212402,0.08145766345123258,5884915.0,251.284594804,0.001
38,0.02347639948129654,39,0.78840571641922,1765916388.3591578,0.8335474729537964,0.08360128617363344,6032758.0,257.666838995,0.001
39,0.11874589323997498,40,0.7875271141529083,1765916394.4802713,0.8425301313400269,0.0857449088960343,6187550.0,263.787960642,0.001
40,0.10490982979536057,41,0.782087042927742,1765916402.108354,0.857542872428894,0.08788853161843516,6355408.0,271.416043984,0.001
41,0.04564891755580902,42,0.7836018651723862,1765916409.0391197,0.8528720140457153,0.09003215434083602,6519771.0,278.346809381,0.001
42,0.09658095240592957,43,0.7918722778558731,1765916415.091774,0.8148539066314697,0.09217577706323687,6672296.0,284.399465777,0.001
43,0.02858671545982361,44,0.7767843753099442,1765916423.787219,0.8766622543334961,0.09431939978563773,6843136.0,293.09489168,0.001
44,0.0729917511343956,45,0.7801216393709183,1765916430.9935322,0.8535436987876892,0.09646302250803858,6993296.0,300.301183518,0.001
45,0.049800511449575424,46,0.7939060181379318,1765916437.5623133,0.8102025985717773,0.09860664523043944,7142356.0,306.869994851,0.001
46,0.04561178386211395,47,0.7958882302045822,1765916443.2381246,0.8071776628494263,0.1007502679528403,7294167.0,312.545798316,0.001
47,0.05347627028822899,48,0.7714661657810211,1765916451.4705882,0.9090366363525391,0.10289389067524116,7470762.0,320.778269328,0.001
