_timestamp,train/loss,train/epoch,train/grad_norm,train/global_step,_step,train/num_tokens,train/learning_rate,train/mean_token_accuracy,_runtime,eval/accuracy
1765917103.965754,0.7713901996612549,0.2829581993569132,0.008589901961386204,132.0,131,20561798.0,0.001,0.8024091273546219,968.116808551,
1765917110.8743336,0.819706916809082,0.28510182207931406,0.008418801240622997,133.0,132,20720111.0,0.001,0.7889380604028702,975.02538153,
1765917117.8862202,0.7884663343429565,0.2872454448017149,0.007117471192032099,134.0,133,20876095.0,0.001,0.7977291196584702,982.037243992,
1765917125.1360626,0.8082135915756226,0.28938906752411575,0.00927738007158041,135.0,134,21031975.0,0.001,0.7934213578701019,989.287108721,
1765917133.124087,0.7735275030136108,0.2915326902465166,0.007674624677747488,136.0,135,21180614.0,0.001,0.8002562969923019,997.275158368,
1765917142.3826442,0.8681465983390808,0.2936763129689175,0.0078079598024487495,137.0,136,21349138.0,0.001,0.7792028933763504,1006.533692974,
1765917150.3292577,0.8480584621429443,0.2958199356913183,0.007947741076350212,138.0,137,21511590.0,0.001,0.7812303900718689,1014.480324449,
1765917157.037048,0.8084113597869873,0.2979635584137192,0.008962099440395832,139.0,138,21656819.0,0.001,0.793209969997406,1021.188089841,
1765917163.90301,0.8279721736907959,0.30010718113612006,0.007957725785672665,140.0,139,21811238.0,0.001,0.787321925163269,1028.05405173,
1765917171.2607315,0.8619720339775085,0.3022508038585209,0.008285775780677795,141.0,140,21980388.0,0.001,0.7789736539125443,1035.411777277,
1765917179.8067696,0.8539290428161621,0.30439442658092175,0.010779263451695442,142.0,141,22142594.0,0.001,0.7808959782123566,1043.957812946,
1765917186.953693,0.8414608240127563,0.3065380493033226,0.007295753341168165,143.0,142,22299845.0,0.001,0.7849908471107483,1051.104724689,
1765917195.050524,0.8045811653137207,0.3086816720257235,0.013612821698188782,144.0,143,22465527.0,0.001,0.7954919636249542,1059.201584114,
1765917202.8581078,0.771294355392456,0.3108252947481243,0.010208606719970703,145.0,144,22618289.0,0.001,0.8014239072799683,1067.009166965,
1765917209.8693354,0.7917793989181519,0.3129689174705252,0.0077721369452774525,146.0,145,22770622.0,0.001,0.7974203824996948,1074.020390123,
1765917216.419959,0.7665911912918091,0.31511254019292606,0.007894148118793964,147.0,146,22922597.0,0.001,0.8027847558259964,1080.570990156,
1765917223.776082,0.7973618507385254,0.3172561629153269,0.009133866056799889,148.0,147,23075685.0,0.001,0.7957547008991241,1087.927135155,
1765917231.2236843,0.7971041798591614,0.31939978563772775,0.009131626226007938,149.0,148,23239973.0,0.001,0.7961330115795135,1095.37474566,
1765917240.3022199,0.8394856452941895,0.3215434083601286,0.012623368762433529,150.0,149,23407446.0,0.001,0.7858147025108337,1104.45325886,
1765917247.010013,0.7651130557060242,0.3236870310825295,0.008165639825165272,151.0,150,23555395.0,0.001,0.8042901158332825,1111.161038187,
1765917253.874287,0.8081299662590027,0.3258306538049303,0.010930266231298447,152.0,151,23712167.0,0.001,0.7951484620571136,1118.025329315,
1765917261.0192428,0.8221040368080139,0.3279742765273312,0.01650317758321762,153.0,152,23869562.0,0.001,0.7889995872974396,1125.170272623,
1765917268.552671,0.8207097053527832,0.33011789924973206,0.007662453223019838,154.0,153,24027568.0,0.001,0.7882644534111023,1132.703714076,
1765917275.7862349,0.8295232057571411,0.3322615219721329,0.015550794079899788,155.0,154,24183451.0,0.001,0.7898041307926178,1139.937264529,
1765917283.801776,0.7999236583709717,0.33440514469453375,0.008856556378304958,156.0,155,24342400.0,0.001,0.7941108196973801,1147.952856496,
1765917292.7472043,0.8371967077255249,0.3365487674169346,0.013180779293179512,157.0,156,24500736.0,0.001,0.787118673324585,1156.898259854,
1765917301.2084703,0.7901192903518677,0.3386923901393355,0.00754330400377512,158.0,157,24652820.0,0.001,0.7978447377681732,1165.359535787,
1765917308.2387505,0.8047878742218018,0.3408360128617363,0.012096158228814602,159.0,158,24810632.0,0.001,0.791983351111412,1172.389797172,
1765917316.3487918,0.7903503775596619,0.3429796355841372,0.008061526343226433,160.0,159,24968589.0,0.001,0.7950309664011002,1180.499846012,
1765917323.8161628,0.8284653425216675,0.34512325830653806,0.010676358826458454,161.0,160,25125017.0,0.001,0.7873170971870422,1187.967204199,
1765917330.9776814,0.7672314643859863,0.34726688102893893,0.008803707547485828,162.0,161,25277188.0,0.001,0.8019831776618958,1195.128741292,
1765917337.6809819,0.7538943290710449,0.34941050375133975,0.011124059557914734,163.0,162,25430057.0,0.001,0.8068567216396332,1201.83202254,
