_timestamp,_runtime,train/loss,train/num_tokens,train/global_step,train/grad_norm,train/learning_rate,train/mean_token_accuracy,_step,train/epoch,eval/accuracy
1765917544.1382408,1431.269769698,0.843833863735199,33851344.0,217.0,0.06851105391979218,1e-05,0.790782630443573,216,0.46516613076098606,
1765917550.9360628,1438.067618279,0.8868628740310669,34005428.0,218.0,0.06753961741924286,1e-05,0.7791271656751633,217,0.46730975348338694,
1765917555.9543302,1443.085871973,0.8997998237609863,34142448.0,219.0,0.07406608760356903,1e-05,0.7783176004886627,218,0.4694533762057878,
1765917561.837342,1448.968882831,0.8477097153663635,34293582.0,220.0,0.06900747865438461,1e-05,0.7888394296169281,219,0.4715969989281886,
1765917568.3753762,1455.506900299,0.924175500869751,34448802.0,221.0,0.0669550746679306,1e-05,0.7734341323375702,220,0.4737406216505895,
1765917575.116058,1462.247582626,0.8726959228515625,34608650.0,222.0,0.06612006574869156,1e-05,0.7808108031749725,221,0.4758842443729904,
1765917581.4734282,1468.604961964,0.8671416640281677,34765848.0,223.0,0.06871967017650604,1e-05,0.7837871313095093,222,0.4780278670953912,
1765917587.5386043,1474.670140799,0.8566269874572754,34923587.0,224.0,0.06793901324272156,1e-05,0.7887496650218964,223,0.48017148981779206,
1765917592.39025,1479.521800728,0.8456597328186035,35061736.0,225.0,0.0764213502407074,1e-05,0.7898347675800323,224,0.48231511254019294,
1765917598.6677783,1485.79931533,0.8969165682792664,35224947.0,226.0,0.06647153943777084,1e-05,0.7736353725194931,225,0.4844587352625938,
1765917605.7976952,1492.929235743,0.9429908990859985,35383552.0,227.0,0.06835875660181046,1e-05,0.7647192478179932,226,0.4866023579849946,
1765917612.7225218,1499.854066756,0.891588032245636,35537848.0,228.0,0.07133986055850983,1e-05,0.7788942009210587,227,0.4887459807073955,
1765917618.2765875,1505.408128881,0.8797163963317871,35694801.0,229.0,0.07010180503129959,1e-05,0.7792602181434631,228,0.4908896034297964,
1765917624.8861036,1512.017627435,0.877326488494873,35847389.0,230.0,0.07194053381681442,1e-05,0.7809923887252808,229,0.4930332261521972,
1765917630.8103883,1517.941915411,0.8938198685646057,36001061.0,231.0,0.07242222875356674,1e-05,0.7774593979120255,230,0.49517684887459806,
1765917637.5997841,1524.731341299,0.8914444446563721,36153435.0,232.0,0.07331586629152298,1e-05,0.7791961580514908,231,0.49732047159699894,
1765917643.6275103,1530.759049068,0.8776568174362183,36308551.0,233.0,0.07146894931793213,1e-05,0.7816815227270126,232,0.4994640943193998,
1765917649.3585403,1536.490077149,0.8770958185195923,36451452.0,234.0,0.07591862976551056,1e-05,0.7822869271039963,233,0.5016077170418006,
1765917654.4083385,1541.539858241,0.8478107452392578,36596648.0,235.0,0.07461897283792496,1e-05,0.7881380021572113,234,0.5037513397642015,
1765917661.5738275,1548.705373663,0.8831716775894165,36751665.0,236.0,0.07203292101621628,1e-05,0.7757007926702499,235,0.5058949624866024,
1765917668.5327086,1555.664240675,0.8838120102882385,36908485.0,237.0,0.07055124640464783,1e-05,0.7806932628154755,236,0.5080385852090032,
1765917674.7577984,1561.889333044,0.8369721174240112,37064151.0,238.0,0.07055427134037018,1e-05,0.7923669070005417,237,0.5101822079314041,
1765917680.7044,1567.835948354,0.8856083750724792,37217517.0,239.0,0.07244182378053665,1e-05,0.7784955054521561,238,0.5123258306538049,
1765917685.9712996,1573.102845836,0.8363019824028015,37367961.0,240.0,0.07200730592012405,1e-05,0.7908015251159668,239,0.5144694533762058,
1765917692.5261083,1579.657648236,0.8717821836471558,37526897.0,241.0,0.06800595670938492,1e-05,0.7816063314676285,240,0.5166130760986066,
1765917698.7628558,1585.8944087,0.9282395839691162,37685668.0,242.0,0.06868766248226166,1e-05,0.7674276828765869,241,0.5187566988210075,
1765917704.6452973,1591.776831752,0.8799270391464233,37839489.0,243.0,0.06723424047231674,1e-05,0.7811264097690582,242,0.5209003215434084,
1765917710.9994454,1598.130984359,0.8998998403549194,37997238.0,244.0,0.06469979882240295,1e-05,0.7744153887033463,243,0.5230439442658092,
