train/learning_rate,train/mean_token_accuracy,_runtime,_timestamp,train/loss,train/grad_norm,train/num_tokens,train/global_step,train/epoch,_step,eval/accuracy
1e-05,0.8117806613445282,9125.461496998,1765925680.592876,0.7033379077911377,0.01164559368044138,41882397.0,269.0,0.5766345123258306,268,
1e-05,0.7965810596942902,9158.065110975,1765925713.1964698,0.7511320114135742,0.03513340651988983,42044695.0,270.0,0.5787781350482315,269,
1e-05,0.7971261739730835,9190.638624113,1765925745.7698913,0.7611697912216187,0.03132057562470436,42195750.0,271.0,0.5809217577706324,270,
1e-05,0.8012285530567169,9224.905994528,1765925780.037197,0.7524993419647217,0.013768965378403664,42347658.0,272.0,0.5830653804930332,271,
1e-05,0.7957825064659119,9258.266521498,1765925813.3976934,0.7593972682952881,0.03174905106425285,42499617.0,273.0,0.5852090032154341,272,
1e-05,0.8113653361797333,9290.898899322,1765925846.0301745,0.7042546272277832,0.030692504718899727,42648060.0,274.0,0.587352625937835,273,
1e-05,0.8050706386566162,9323.017658252,1765925878.148929,0.7258818745613098,0.014022083021700382,42799438.0,275.0,0.5894962486602358,274,
1e-05,0.8069435954093933,9358.666378191,1765925913.7977087,0.722822904586792,0.025554245337843895,42945465.0,276.0,0.5916398713826366,275,
1e-05,0.8095517456531525,9390.178054006,1765925945.3093486,0.7077980041503906,0.030296189710497856,43089377.0,277.0,0.5937834941050375,276,
1e-05,0.7947909832000732,9431.482421867,1765925986.6137495,0.7713708281517029,0.012513034045696259,43253006.0,278.0,0.5959271168274384,277,
1e-05,0.8041021227836609,9469.439601015,1765926024.5710182,0.7303637266159058,0.02445852942764759,43420433.0,279.0,0.5980707395498392,278,
1e-05,0.8056482076644897,9500.861924403,1765926055.993267,0.7292420864105225,0.025106266140937805,43577695.0,280.0,0.6002143622722401,279,
1e-05,0.8061622977256775,9541.035008305,1765926096.166266,0.7202036380767822,0.012674828991293907,43738482.0,281.0,0.602357984994641,280,
1e-05,0.8032660782337189,9580.20098394,1765926135.332213,0.7329506874084473,0.021042080596089363,43895774.0,282.0,0.6045016077170418,281,
1e-05,0.8044401407241821,9609.627506594,1765926164.758829,0.7338635921478271,0.022685008123517036,44045728.0,283.0,0.6066452304394426,282,
1e-05,0.7991353571414948,9646.373106883,1765926201.5044,0.7375591397285461,0.01345793530344963,44207082.0,284.0,0.6087888531618435,283,
1e-05,0.7989989221096039,9682.0186319,1765926237.1499012,0.7529946565628052,0.022913960739970207,44360492.0,285.0,0.6109324758842444,284,
1e-05,0.8141121566295624,9715.805703542,1765926270.9369283,0.6922041177749634,0.015927951782941818,44507249.0,286.0,0.6130760986066452,285,
1e-05,0.8084675967693329,9750.583170331,1765926305.7144587,0.7279702425003052,0.014460147358477116,44657380.0,287.0,0.6152197213290461,286,
1e-05,0.8059196174144745,9779.627132816,1765926334.758302,0.723371148109436,0.042872969061136246,44809690.0,288.0,0.617363344051447,287,
1e-05,0.8120969831943512,9806.612703093,1765926361.7440538,0.6991310715675354,0.012442790903151035,44958006.0,289.0,0.6195069667738478,288,
1e-05,0.7999529242515564,9839.51853518,1765926394.6497486,0.7509790062904358,0.036313023418188095,45127484.0,290.0,0.6216505894962486,289,
1e-05,0.7947696149349213,9876.755353934,1765926431.886659,0.7751816511154175,0.04033658653497696,45288670.0,291.0,0.6237942122186495,290,
1e-05,0.808622807264328,9902.944551663,1765926458.0757418,0.7111761569976807,0.01997123844921589,45435435.0,292.0,0.6259378349410504,291,
1e-05,0.805700421333313,9935.507203681,1765926490.6385593,0.7252769470214844,0.027936916798353195,45582758.0,293.0,0.6280814576634512,292,
1e-05,0.8110342621803284,9967.231040977,1765926522.362394,0.7037544250488281,0.02519354224205017,45724786.0,294.0,0.6302250803858521,293,
1e-05,0.8086128234863281,9997.286590873,1765926552.4179752,0.7156522274017334,0.025145461782813072,45875653.0,295.0,0.632368703108253,294,
1e-05,0.8085248470306396,10029.400666266,1765926584.5319407,0.7137067317962646,0.059762950986623764,46026612.0,296.0,0.6345123258306538,295,
1e-05,0.8074492514133453,10059.605332176,1765926614.736545,0.7194094657897949,0.03902297839522362,46173537.0,297.0,0.6366559485530546,296,
1e-05,0.7998284101486206,10093.532149553,1765926648.6633716,0.7538613080978394,0.058286767452955246,46337020.0,298.0,0.6387995712754555,297,
1e-05,0.8051103353500366,10125.192385621,1765926680.3236341,0.7395673394203186,0.06686827540397644,46484878.0,299.0,0.6409431939978564,298,
1e-05,0.8020016849040985,10157.763035419,1765926712.8942788,0.7345499992370605,0.050836700946092606,46638837.0,300.0,0.6430868167202572,299,
1e-05,0.8063031435012817,10203.423416627,1765926758.554704,0.7232400178909302,0.02596857026219368,46792654.0,301.0,0.6452304394426581,300,
1e-05,0.7983619570732117,10234.592940563,1765926789.7243004,0.7487967014312744,0.060472480952739716,46956735.0,302.0,0.647374062165059,301,
1e-05,0.7964993715286255,10274.623906649,1765926829.7552185,0.7696913480758667,0.046946536749601364,47119017.0,303.0,0.6495176848874598,302,
1e-05,0.8058838248252869,10313.579360003,1765926868.7107036,0.7251169681549072,0.028334438800811768,47277064.0,304.0,0.6516613076098606,303,
1e-05,0.8023249506950378,10353.942945739,1765926909.074204,0.7317851781845093,0.030697286128997803,47425177.0,305.0,0.6538049303322615,304,
1e-05,0.8132126033306122,10380.554864522,1765926935.686152,0.6980926990509033,0.04677889123558998,47567815.0,306.0,0.6559485530546624,305,
1e-05,0.8135786652565002,10410.669772705,1765926965.8010938,0.6854758262634277,0.04116763919591904,47711542.0,307.0,0.6580921757770632,306,
1e-05,0.8043444752693176,10443.319353574,1765926998.4505794,0.7400848865509033,0.014955361373722553,47867963.0,308.0,0.6602357984994641,307,
