train/global_step,_step,_runtime,train/loss,train/grad_norm,train/num_tokens,train/learning_rate,_timestamp,train/mean_token_accuracy,train/epoch,eval/accuracy
20.0,19,139.028500201,1.7123010158538818,1.0183323621749878,3061305.0,1e-05,1765916255.064305,0.6427377760410309,0.04287245444801715,
21.0,20,145.306982883,1.6140382289886475,0.943137526512146,3219127.0,1e-05,1765916261.342705,0.6595391631126404,0.04501607717041801,
22.0,21,152.345495692,1.6018513441085815,0.9439717531204224,3380158.0,1e-05,1765916268.3813045,0.661376491189003,0.04715969989281887,
23.0,22,158.686745793,1.5983285903930664,0.9391661286354065,3539898.0,1e-05,1765916274.7225256,0.6625527888536453,0.04930332261521972,
24.0,23,163.653761338,1.6273419857025146,1.0050948858261108,3689574.0,1e-05,1765916279.6895943,0.6563248485326767,0.05144694533762058,
25.0,24,171.41196954,1.597486972808838,0.9318756461143494,3855970.0,1e-05,1765916287.4477317,0.6581311672925949,0.05359056806002144,
26.0,25,178.094917396,1.5547630786895752,0.9202249050140381,4018658.0,1e-05,1765916294.1306653,0.6674877405166626,0.055734190782422297,
27.0,26,184.850052434,1.6675047874450684,1.0002750158309937,4171160.0,1e-05,1765916300.885817,0.6447051018476486,0.05787781350482315,
28.0,27,190.162165751,1.606061339378357,1.0391827821731567,4314298.0,1e-05,1765916306.1978898,0.6599308252334595,0.06002143622722401,
29.0,28,196.421616334,1.5772290229797363,0.9831548929214478,4468546.0,1e-05,1765916312.4573643,0.660486564040184,0.06216505894962487,
30.0,29,203.686943388,1.5697743892669678,0.9042251706123352,4635984.0,1e-05,1765916319.7226675,0.6606261432170868,0.06430868167202572,
31.0,30,209.683641847,1.5472314357757568,0.9605768322944641,4790352.0,1e-05,1765916325.7194219,0.6682880073785782,0.06645230439442658,
32.0,31,216.845151407,1.5472965240478516,0.8995736241340637,4956096.0,1e-05,1765916332.8808463,0.6634502112865448,0.06859592711682744,
33.0,32,222.608850655,1.5372443199157715,0.9694201350212097,5107640.0,1e-05,1765916338.6446986,0.6676319241523743,0.0707395498392283,
34.0,33,229.105181376,1.50978422164917,0.9356989860534668,5265237.0,1e-05,1765916345.14102,0.6713648438453674,0.07288317256162916,
35.0,34,235.432306374,1.508570909500122,0.9419106841087341,5419378.0,1e-05,1765916351.46805,0.6713700592517853,0.07502679528403002,
36.0,35,241.342335488,1.50863516330719,0.9290887117385864,5576075.0,1e-05,1765916357.3781695,0.6682616025209427,0.07717041800643087,
37.0,36,246.604774332,1.5575178861618042,0.9986835718154907,5720029.0,1e-05,1765916362.640559,0.6621474921703339,0.07931404072883172,
38.0,37,253.682326041,1.4798011779785156,0.8773427605628967,5884915.0,1e-05,1765916369.71805,0.6741593778133392,0.08145766345123258,
39.0,38,260.121283015,1.5311390161514282,0.9672861099243164,6032758.0,1e-05,1765916376.157068,0.6643410474061966,0.08360128617363344,
40.0,39,266.34304562,1.5046786069869995,0.9049558043479919,6187550.0,1e-05,1765916382.3787253,0.66755610704422,0.0857449088960343,
