train/mean_token_accuracy,_runtime,train/loss,train/num_tokens,_step,train/global_step,train/learning_rate,_timestamp,train/epoch,train/grad_norm
0.7591505646705627,141.315914123,1.0049962997436523,3061305.0,19,20,0.0001,1765916253.2419715,0.04287245444801715,1.1057201623916626
0.7685212939977646,147.790885826,0.9542335271835327,3219127.0,20,21,0.0001,1765916259.716923,0.04501607717041801,0.8883467316627502
0.7709133177995682,154.889102307,0.9448560476303101,3380158.0,21,22,0.0001,1765916266.81514,0.04715969989281887,0.7453667521476746
0.7732882797718048,161.531453507,0.9361329078674316,3539898.0,22,23,0.0001,1765916273.4574955,0.04930332261521972,0.9913696050643921
0.7740037441253662,166.646585486,0.9167783260345459,3689574.0,23,24,0.0001,1765916278.57263,0.05144694533762058,0.6575133204460144
0.7659869492053986,174.51110429,0.9540589451789856,3855970.0,24,25,0.0001,1765916286.4371355,0.05359056806002144,0.6057539582252502
0.7786267846822739,181.299849356,0.8975766897201538,4018658.0,25,26,0.0001,1765916293.2258909,0.055734190782422297,0.527603030204773
0.7613601088523865,188.165943532,0.9719731211662292,4171160.0,26,27,0.0001,1765916300.0919797,0.05787781350482315,0.4920046627521515
0.7846808582544327,193.56759577,0.8679486513137817,4314298.0,27,28,0.0001,1765916305.493617,0.06002143622722401,0.5359113812446594
0.7792023420333862,199.866646031,0.8905723690986633,4468546.0,28,29,0.0001,1765916311.7926724,0.06216505894962487,0.42732059955596924
0.7678609192371368,207.230180678,0.9447001218795776,4635984.0,29,30,0.0001,1765916319.156236,0.06430868167202572,0.3543122410774231
0.7844802290201187,213.264614421,0.8700209856033325,4790352.0,30,31,0.0001,1765916325.1906319,0.06645230439442658,0.3626083433628082
0.7717706859111786,220.699940159,0.9226135611534119,4956096.0,31,32,0.0001,1765916332.6259944,0.06859592711682744,0.313625305891037
0.786649614572525,226.612570763,0.8565487861633301,5107640.0,32,33,0.0001,1765916338.5386138,0.0707395498392283,0.30233851075172424
0.7842424213886261,233.348776383,0.8653066158294678,5265237.0,33,34,0.0001,1765916345.2748077,0.07288317256162916,0.28647127747535706
0.7864541709423065,239.71938875,0.853649914264679,5419378.0,34,35,0.0001,1765916351.6454217,0.07502679528403002,0.2831396162509918
0.78150874376297,245.695985924,0.8666921854019165,5576075.0,35,36,0.0001,1765916357.622014,0.07717041800643087,0.2620103061199188
0.7860058397054672,251.139624122,0.8625059127807617,5720029.0,36,37,0.0001,1765916363.0656579,0.07931404072883172,0.26592177152633667
0.7818451374769211,258.62444042,0.8785998225212097,5884915.0,37,38,0.0001,1765916370.550473,0.08145766345123258,0.24926595389842987
0.7816356867551804,265.170028647,0.8730997443199158,6032758.0,38,39,0.0001,1765916377.0960686,0.08360128617363344,0.24132230877876282
0.7805762141942978,271.415988944,0.8807132244110107,6187550.0,39,40,0.0001,1765916383.3420265,0.0857449088960343,0.2542250454425812
0.7753293812274933,279.181409756,0.891747236251831,6355408.0,40,41,0.0001,1765916391.1074705,0.08788853161843516,0.22172902524471283
0.7775848656892776,286.318371475,0.8888529539108276,6519771.0,41,42,0.0001,1765916398.2444167,0.09003215434083602,0.2082895189523697
0.7846028953790665,292.599295425,0.8536805510520935,6672296.0,42,43,0.0001,1765916404.52534,0.09217577706323687,0.24553775787353516
0.7703246027231216,301.61385722,0.9106380939483643,6843136.0,43,44,0.0001,1765916413.5398996,0.09431939978563773,0.2027493268251419
0.7733463793992996,309.086890849,0.8926197290420532,6993296.0,44,45,0.0001,1765916421.012917,0.09646302250803858,0.2247813493013382
0.7866879254579544,315.827616279,0.8469133973121643,7142356.0,45,46,0.0001,1765916427.7536895,0.09860664523043944,0.19906921684741974
0.7876592874526978,321.6337665,0.8463309407234192,7294167.0,46,47,0.0001,1765916433.5598116,0.1007502679528403,0.2763592600822449
