train/learning_rate,_timestamp,train/grad_norm,train/num_tokens,train/global_step,train/loss,train/mean_token_accuracy,_step,_runtime,train/epoch,eval/accuracy
1e-05,1765922066.3937,0.04536736384034157,27900973.0,179.0,0.7093560695648193,0.8129401504993439,178,5531.914038708,0.3837084673097535,
1e-05,1765922101.0029373,0.044582538306713104,28057386.0,180.0,0.7508999109268188,0.8015190064907074,179,5566.523188809,0.3858520900321543,
1e-05,1765922134.3273506,0.039481379091739655,28218433.0,181.0,0.7585344314575195,0.7991878986358643,180,5599.847577025,0.3879957127545552,
1e-05,1765922171.5578392,0.041011177003383636,28378531.0,182.0,0.7487883567810059,0.8024393916130066,181,5637.078078705,0.39013933547695606,
1e-05,1765922194.619117,0.04299437999725342,28517567.0,183.0,0.6848558187484741,0.8185723423957825,182,5660.139358445,0.39228295819935693,
1e-05,1765922221.1891718,0.041624512523412704,28678245.0,184.0,0.7144591808319092,0.8095597624778748,183,5686.70941856,0.39442658092175775,
1e-05,1765922254.696855,0.03877406194806099,28847748.0,185.0,0.7601615190505981,0.8000486493110657,184,5720.217122208,0.3965702036441586,
1e-05,1765922281.733063,0.038306381553411484,29003477.0,186.0,0.7505306005477905,0.8020480275154114,185,5747.253292048,0.3987138263665595,
1e-05,1765922319.3864458,0.04090625047683716,29163981.0,187.0,0.744890570640564,0.8017451763153076,186,5784.906665644,0.4008574490889603,
1e-05,1765922348.5235498,0.03910879045724869,29313769.0,188.0,0.7334412932395935,0.8047503530979156,187,5814.043779702,0.4030010718113612,
1e-05,1765922378.8258572,0.03863684460520744,29474111.0,189.0,0.7309640645980835,0.8039773106575012,188,5844.346120856,0.40514469453376206,
1e-05,1765922409.224455,0.038452696055173874,29641339.0,190.0,0.7796734571456909,0.7951490879058838,189,5874.744693662,0.40728831725616294,
1e-05,1765922439.3729117,0.040777839720249176,29795124.0,191.0,0.7143418192863464,0.8109630346298218,190,5904.893163808,0.40943193997856375,
1e-05,1765922469.7377923,0.04008069634437561,29956920.0,192.0,0.7568336725234985,0.7999314665794373,191,5935.25803077,0.4115755627009646,
1e-05,1765922501.6045175,0.04209645092487335,30113790.0,193.0,0.7689251899719238,0.7938421964645386,192,5967.124753061,0.4137191854233655,
1e-05,1765922538.5518863,0.0446135513484478,30267060.0,194.0,0.7334694862365723,0.8044624626636505,193,6004.07214915,0.41586280814576637,
1e-05,1765922565.1356711,0.03921711817383766,30420733.0,195.0,0.7519190907478333,0.80100017786026,194,6030.655883777,0.4180064308681672,
1e-05,1765922599.1905582,0.03894983232021332,30582338.0,196.0,0.7525771260261536,0.7998192608356476,195,6064.710777842,0.42015005359056806,
1e-05,1765922623.3322134,0.04064568504691124,30735043.0,197.0,0.7148285508155823,0.812297910451889,196,6088.852474029,0.42229367631296894,
1e-05,1765922650.130806,0.042386092245578766,30885025.0,198.0,0.7410662770271301,0.8043158054351807,197,6115.651063427,0.42443729903536975,
1e-05,1765922676.6208074,0.03883975371718407,31036663.0,199.0,0.7416657209396362,0.8032003045082092,198,6142.141114078,0.4265809217577706,
1e-05,1765922702.0711646,0.040842313319444656,31184340.0,200.0,0.7024726867675781,0.8133103251457214,199,6167.591420616,0.4287245444801715,
1e-05,1765922738.637234,0.038708336651325226,31345142.0,201.0,0.7488106489181519,0.79982128739357,200,6204.157616755,0.43086816720257237,
1e-05,1765922765.8642056,0.04078689590096474,31495847.0,202.0,0.7664067149162292,0.7965167164802551,201,6231.384463776,0.4330117899249732,
1e-05,1765922800.2433476,0.04346556216478348,31654749.0,203.0,0.7372408509254456,0.8042003810405731,202,6265.763594374,0.43515541264737406,
1e-05,1765922823.7248435,0.03991609066724777,31808152.0,204.0,0.7481563091278076,0.8017534017562866,203,6289.245102225,0.43729903536977494,
1e-05,1765922855.1682842,0.04008730128407478,31977458.0,205.0,0.7654289603233337,0.7974706590175629,204,6320.688492625,0.43944265809217575,
1e-05,1765922880.9663405,0.04048449546098709,32129990.0,206.0,0.7337592244148254,0.8050945997238159,205,6346.486583525,0.4415862808145766,
1e-05,1765922916.7806404,0.03901730105280876,32295318.0,207.0,0.7851669788360596,0.7931149899959564,206,6382.300883409,0.4437299035369775,
1e-05,1765922949.3458734,0.039336878806352615,32458576.0,208.0,0.7685794830322266,0.7966486215591431,207,6414.866228815,0.44587352625937837,
1e-05,1765922980.459036,0.03942427039146423,32617496.0,209.0,0.7446837425231934,0.8013102412223816,208,6445.97946577,0.4480171489817792,
1e-05,1765923017.3819978,0.03967586159706116,32779172.0,210.0,0.7391766309738159,0.8040962815284729,209,6482.902326648,0.45016077170418006,
1e-05,1765923050.1073546,0.040246088057756424,32931223.0,211.0,0.7231388092041016,0.8060469329357147,210,6515.627716875,0.45230439442658094,
1e-05,1765923082.3274524,0.041359793394804,33081708.0,212.0,0.7360906004905701,0.8024320006370544,211,6547.847814533,0.45444801714898175,
1e-05,1765923110.2607684,0.040853362530469894,33234519.0,213.0,0.7438496351242065,0.8022303581237793,212,6575.781029626,0.4565916398713826,
1e-05,1765923137.6619222,0.04272786155343056,33380554.0,214.0,0.7295082807540894,0.805510938167572,213,6603.182188533,0.4587352625937835,
1e-05,1765923174.7521322,0.04000910371541977,33541078.0,215.0,0.7683924436569214,0.7961931228637695,214,6640.272560685,0.4608788853161844,
1e-05,1765923208.6183538,0.043968502432107925,33702070.0,216.0,0.7427417039871216,0.8025636076927185,215,6674.138697107,0.4630225080385852,
1e-05,1765923237.2086236,0.042575445026159286,33851344.0,217.0,0.6987667679786682,0.8146307170391083,216,6702.728851076,0.46516613076098606,
1e-05,1765923269.3422232,0.04173485189676285,34005428.0,218.0,0.7401237487792969,0.8039023578166962,217,6734.862494252,0.46730975348338694,
1e-05,1765923295.654933,0.04777654632925987,34142448.0,219.0,0.7411129474639893,0.801836758852005,218,6761.175194635,0.4694533762057878,
1e-05,1765923323.1091845,0.04119735211133957,34293582.0,220.0,0.7026879787445068,0.8121735751628876,219,6788.629464548,0.4715969989281886,
1e-05,1765923354.7255611,0.04161522909998894,34448802.0,221.0,0.7702364921569824,0.7976202964782715,220,6820.245817463,0.4737406216505895,
1e-05,1765923386.0658216,0.04071541503071785,34608650.0,222.0,0.7304025888442993,0.8031856417655945,221,6851.586055033,0.4758842443729904,
1e-05,1765923418.9946516,0.042876455932855606,34765848.0,223.0,0.7202035188674927,0.8078168034553528,222,6884.514921335,0.4780278670953912,
1e-05,1765923450.2705421,0.042733512818813324,34923587.0,224.0,0.7142006158828735,0.8105584383010864,223,6915.79078083,0.48017148981779206,
1e-05,1765923471.0688472,0.044920023530721664,35061736.0,225.0,0.6903771162033081,0.8156845569610596,224,6936.589106788,0.48231511254019294,
1e-05,1765923498.653831,0.03984809294342995,35224947.0,226.0,0.7507346868515015,0.7996423244476318,225,6964.174088629,0.4844587352625938,
1e-05,1765923531.1160672,0.04058491811156273,35383552.0,227.0,0.7914007902145386,0.7890791594982147,226,6996.636322562,0.4866023579849946,
1e-05,1765923567.9923656,0.041313719004392624,35537848.0,228.0,0.7395431995391846,0.803525298833847,227,7033.51262386,0.4887459807073955,
1e-05,1765923593.9517698,0.041909970343112946,35694801.0,229.0,0.7312625646591187,0.8052880465984344,228,7059.472031371,0.4908896034297964,
1e-05,1765923626.6287134,0.040602050721645355,35847389.0,230.0,0.733252763748169,0.8051148056983948,229,7092.148963244,0.4930332261521972,
1e-05,1765923657.7675638,0.04159422591328621,36001061.0,231.0,0.7431520223617554,0.8030574321746826,230,7123.287818603,0.49517684887459806,
1e-05,1765923687.8000236,0.04370906576514244,36153435.0,232.0,0.7456253170967102,0.8041488826274872,231,7153.320272387,0.49732047159699894,
1e-05,1765923715.9158332,0.042331621050834656,36308551.0,233.0,0.7290704250335693,0.8070253133773804,232,7181.436041327,0.4994640943193998,
1e-05,1765923743.3017724,0.04376470670104027,36451452.0,234.0,0.7262722849845886,0.8071844279766083,233,7208.822029113,0.5016077170418006,
1e-05,1765923768.312192,0.042823001742362976,36596648.0,235.0,0.6988879442214966,0.8125165104866028,234,7233.832438841,0.5037513397642015,
1e-05,1765923803.9139314,0.041623152792453766,36751665.0,236.0,0.7399534583091736,0.8005006015300751,235,7269.434196736,0.5058949624866024,
1e-05,1765923841.1484883,0.04253927990794182,36908485.0,237.0,0.7437201738357544,0.8035674393177032,236,7306.668741166,0.5080385852090032,
1e-05,1765923868.1976407,0.04236922040581703,37064151.0,238.0,0.6942826509475708,0.8167027533054352,237,7333.717867592,0.5101822079314041,
1e-05,1765923895.732098,0.043554455041885376,37217517.0,239.0,0.7417857646942139,0.8020899891853333,238,7361.252359101,0.5123258306538049,
1e-05,1765923920.5537229,0.04460882395505905,37367961.0,240.0,0.692333459854126,0.8150654733181,239,7386.073976707,0.5144694533762058,
1e-05,1765923956.3300316,0.04394795000553131,37526897.0,241.0,0.7286337614059448,0.8050655424594879,240,7421.850245399,0.5166130760986066,
1e-05,1765923984.0049448,0.04382840171456337,37685668.0,242.0,0.7780839204788208,0.7923856973648071,241,7449.525231399,0.5187566988210075,
1e-05,1765924014.7874575,0.04163992777466774,37839489.0,243.0,0.7294139862060547,0.8058337271213531,242,7480.307709379,0.5209003215434084,
1e-05,1765924043.4324822,0.04580216854810715,37997238.0,244.0,0.755607008934021,0.7990589439868927,243,7508.952736388,0.5230439442658092,
1e-05,1765924080.3449173,0.04068998992443085,38168011.0,245.0,0.7981594800949097,0.7882620692253113,244,7545.865154221,0.5251875669882101,
1e-05,1765924109.0577378,0.041219014674425125,38326230.0,246.0,0.7458587884902954,0.8019608855247498,245,7574.578086915,0.5273311897106109,
1e-05,1765924139.347539,0.04246601089835167,38478252.0,247.0,0.6961251497268677,0.815702497959137,246,7604.867816353,0.5294748124330118,
1e-05,1765924164.2743263,0.04320754483342171,38625546.0,248.0,0.7179315090179443,0.8081096410751343,247,7629.79457447,0.5316184351554126,
1e-05,1765924197.8677473,0.04526630789041519,38771391.0,249.0,0.7278004288673401,0.8041236102581024,248,7663.388084104,0.5337620578778135,
