train/loss,_step,train/global_step,train/learning_rate,train/mean_token_accuracy,train/epoch,train/grad_norm,_timestamp,train/num_tokens,_runtime,eval/accuracy
1.2348860502243042,34,35.0,1e-05,0.7144550383090973,0.07502679528403002,0.43234574794769287,1765917594.533616,5419378.0,1058.980599774,
1.2331771850585938,35,36.0,1e-05,0.7123256921768188,0.07717041800643087,0.4069361984729767,1765917621.4152029,5576075.0,1085.862185426,
1.2589702606201172,36,37.0,1e-05,0.7088353633880615,0.07931404072883172,0.42524096369743347,1765917645.3658435,5720029.0,1109.812854216,
1.201178789138794,37,38.0,1e-05,0.7190153002738953,0.08145766345123258,0.3633851706981659,1765917677.0393684,5884915.0,1141.486338835,
1.2277812957763672,38,39.0,1e-05,0.7135708332061768,0.08360128617363344,0.4032067656517029,1765917707.8802595,6032758.0,1172.327260009,
1.206063985824585,39,40.0,1e-05,0.7167811691761017,0.0857449088960343,0.3807239830493927,1765917735.7040558,6187550.0,1200.151138783,
1.1781505346298218,40,41.0,1e-05,0.7191681861877441,0.08788853161843516,0.3548673689365387,1765917770.2085793,6355408.0,1234.655553759,
1.1708672046661377,41,42.0,1e-05,0.7200188636779785,0.09003215434083602,0.3699907660484314,1765917800.6533885,6519771.0,1265.100380882,
1.1498801708221436,42,43.0,1e-05,0.7259757220745087,0.09217577706323687,0.4129684567451477,1765917827.4976623,6672296.0,1291.944651314,
1.1478646993637085,43,44.0,1e-05,0.723944902420044,0.09431939978563773,0.3945258855819702,1765917863.5874395,6843136.0,1328.03443154,
1.150754451751709,44,45.0,1e-05,0.7219710350036621,0.09646302250803858,0.46786636114120483,1765917900.1127641,6993296.0,1364.55974542,
