train/global_step,train/mean_token_accuracy,_runtime,_timestamp,train/loss,train/learning_rate,train/num_tokens,_step,train/epoch,train/grad_norm
19,0.7907314896583557,661.739597533,1765917221.36189,0.8212801218032837,0.0001,2916829.0,18,0.04072883172561629,0.036256637424230576
20,0.7878842353820801,694.769166997,1765917254.3914382,0.8326935768127441,0.0001,3061305.0,19,0.04287245444801715,0.03332659602165222
21,0.7938850522041321,726.326736847,1765917285.9490316,0.8052895665168762,0.0001,3219127.0,20,0.04501607717041801,0.025045285001397133
22,0.7920838594436646,763.975058256,1765917323.5973186,0.8033567667007446,0.0001,3380158.0,21,0.04715969989281887,0.02626168169081211
23,0.7933832108974457,795.654089277,1765917355.2764018,0.800078272819519,0.0001,3539898.0,22,0.04930332261521972,0.027494248002767563
24,0.7956364154815674,819.73200601,1765917379.354282,0.7804003953933716,0.0001,3689574.0,23,0.05144694533762058,0.026104066520929337
25,0.7867838740348816,860.562358801,1765917420.1846354,0.8203144073486328,0.0001,3855970.0,24,0.05359056806002144,0.02045290544629097
26,0.8003022968769073,893.238158564,1765917452.8604434,0.7696701884269714,0.0001,4018658.0,25,0.055734190782422297,0.020616259425878525
27,0.7855015993118286,930.189393432,1765917489.8116813,0.8328577280044556,0.0001,4171160.0,26,0.05787781350482315,0.024240843951702118
28,0.8079602122306824,955.962952143,1765917515.585215,0.7319777011871338,0.0001,4314298.0,27,0.06002143622722401,0.026319602504372597
29,0.8017465174198151,986.196708712,1765917545.8190048,0.7564186453819275,0.0001,4468546.0,28,0.06216505894962487,0.01998901180922985
30,0.7895362377166748,1023.944616429,1765917583.5668964,0.8086997270584106,0.0001,4635984.0,29,0.06430868167202572,0.019771872088313103
31,0.8062632977962494,1051.629906344,1765917611.252239,0.7381176948547363,0.0001,4790352.0,30,0.06645230439442658,0.024916965514421463
32,0.7938991189002991,1085.477786858,1765917645.1000652,0.7895064949989319,0.0001,4956096.0,31,0.06859592711682744,0.01708807796239853
33,0.8070966005325317,1112.612133787,1765917672.2344427,0.7275261878967285,0.0001,5107640.0,32,0.0707395498392283,0.012865433469414711
34,0.8056551218032837,1146.602108137,1765917706.2243512,0.7342737913131714,0.0001,5265237.0,33,0.07288317256162916,0.011200765147805214
35,0.809336245059967,1179.076530343,1765917738.6987917,0.7216141223907471,0.0001,5419378.0,34,0.07502679528403002,0.011476051062345505
36,0.8040877282619476,1209.109656881,1765917768.7318947,0.7381744980812073,0.0001,5576075.0,35,0.07717041800643087,0.012254482135176659
37,0.8075435161590576,1235.83456724,1765917795.45682,0.7313328385353088,0.0001,5720029.0,36,0.07931404072883172,0.012531991116702557
38,0.8021716475486755,1271.632591549,1765917831.254875,0.7506608963012695,0.0001,5884915.0,37,0.08145766345123258,0.010475083254277706
39,0.8039774000644684,1306.245502916,1765917865.8678215,0.7405569553375244,0.0001,6032758.0,38,0.08360128617363344,0.011607670225203037
40,0.8022060394287109,1337.694444862,1765917897.3167148,0.7506768703460693,0.0001,6187550.0,39,0.0857449088960343,0.011758907698094845
41,0.7962934374809265,1375.696554462,1765917935.3188157,0.7670797109603882,0.0001,6355408.0,40,0.08788853161843516,0.010616535320878029
42,0.7976684868335724,1409.275219426,1765917968.8974085,0.7624655961990356,0.0001,6519771.0,41,0.09003215434083602,0.009767958894371986
43,0.8062798380851746,1439.644163692,1765917999.2664409,0.7256965637207031,0.0001,6672296.0,42,0.09217577706323687,0.013673273846507072
44,0.792753666639328,1479.913693638,1765918039.535944,0.7818889021873474,0.0001,6843136.0,43,0.09431939978563773,0.009732459671795368
45,0.7967005670070648,1519.966337909,1765918079.588438,0.7564142942428589,0.0001,6993296.0,44,0.09646302250803858,0.011060482822358608
46,0.8102187216281891,1556.43267068,1765918116.0549507,0.7136592268943787,0.0001,7142356.0,45,0.09860664523043944,0.013082757592201233
47,0.8093328475952148,1585.138664253,1765918144.7609353,0.7152317762374878,0.0001,7294167.0,46,0.1007502679528403,0.01003677025437355
